       'Register Name,Address,Access,Size,Data,Bit-7,Bit-6,Bit-5,Bit-4,Bit-3,Bit-2,Bit-1,Bit-0,Bit-7 Description,Bit-6 Description,Bit-5 Description,Bit-4 Description,Bit-3 Description,Bit-2 Description,Bit-1 Description,
        INT_STATUS,0x00,R,0x08,0x00,SRC_DRDY,SRC_OVF,SRC_BUF,SRC_SDCDOT,SRC_SDCDWT,SRC_ORIENT,SRC_ASLP,SRC_BOOT,"SRC_DRDY: 0 – new set of XYZ acceleration and temperature data is not available, 1 – new set of XYZ acceleration and temperature data is available","SRC_OVF: 0 – No overflow condition detected, 1 – Overflow condition detected","SRC_BUF: 0 – No output buffer event status flags are active, 1 – One or more buffer event status flags are active","SRC_SDCD_OT: 0 –  No SDCD outside of thresholds event has been detected, 1 –  An SDCD outside of thresholds event has been detected","SRC_SDCD_WT: 0 –  No SDCD within thresholds event has been detected, 1 – An SDCD within thresholds event has been detected","SRC_ORIENT: 0 – No orientation change event has occurred, 1 – An orientation change event has occurred","SRC_ASLP: 0 – A WAKE-to-SLEEP or SLEEP-to-WAKE system operating mode transition has not occurred, 1 – A WAKE-to-SLEEP or SLEEP-to-WAKE system operating mode transition has occurred","SRC_BOOT: 0 – Boot sequence in process/not complete, 1 – Boot sequence completed"
        TEMP_OUT,0x01,R,0x08,0x00,TEMP_OUT[7],TEMP_OUT[6],TEMP_OUT[5],TEMP_OUT[4],TEMP_OUT[3],TEMP_OUT[2],TEMP_OUT[1],TEMP_OUT[0],"TEMP_OUT[7:0]:8-bit 2's complement temperature value (value + 25)DegC"
        VECM_LSB,0x02,R,0x08,0x00,VECM[7],VECM[6],VECM[5],VECM[4],VECM[3],VECM[2],VECM[1],VECM[0],"VECM[7:0]:LSB of the 12-bit unsigned acceleration vector modulus result"
        VECM_MSB,0x03,R,0x08,0x00,-,-,-,-,VECM[11],VECM[10],VECM[9],VECM[8],"VECM[11:8]:MSB of the 12-bit unsigned acceleration vector modulus result"
        OUT_X_LSB,0x04,R,0x08,0x00,OUT_X[7],OUT_X[6],OUT_X[5],OUT_X[4],OUT_X[3],OUT_X[2],OUT_X[1],OUT_X[0],"OUT_X[7:0]:LSB of the 12-bit X-axis output acceleration data in 2s complement"
        OUT_X_MSB,0x05,R,0x08,0x00,-,-,-,-,OUT_X[11],OUT_X[10],OUT_X[9],OUT_X[8],"OUT_X[11:8]:MSB of the 12-bit X-axis output acceleration data in 2s complement"
        OUT_Y_LSB,0x06,R,0x08,0x00,OUT_Y[7],OUT_Y[6],OUT_Y[5],OUT_Y[4],OUT_Y[3],OUT_Y[2],OUT_Y[1],OUT_Y[0],"OUT_Y[7:0]:LSB of the 12-bit Y-axis output acceleration data in 2s complement"
        OUT_Y_MSB,0x07,R,0x08,0x00,-,-,-,-,OUT_Y[11],OUT_Y[10],OUT_Y[9],OUT_Y[8],"OUT_Y[11:8]:MSB of the 12-bit Y-axis output acceleration data in 2s complement"
        OUT_Z_LSB,0x08,R,0x08,0x00,OUT_Z[7],OUT_Z[6],OUT_Z[5],OUT_Z[4],OUT_Z[3],OUT_Z[2],OUT_Z[1],OUT_Z[0],"OUT_Z[7:0]:LSB of the 12-bit Z-axis output acceleration data in 2s complement"
        OUT_Z_MSB,0x09,R,0x08,0x00,-,-,-,-,OUT_Z[11],OUT_Z[10],OUT_Z[9],OUT_Z[8],"OUT_Z[11:8]:MSB of the 12-bit Z-axis output acceleration data in 2s complement"
        RESERVED,0x0A,R,0x08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
